APPLICATION REF,DATE,RATING,FEEDBACK - POSTIVE,FEEDBACK - IMPROVEMENT,FEEDBACK - NEUTRAL
19F51,05-Feb-2016,Satisfied,At present i am very happy with the sevice i have receied you have been very fast to respond to my emails and taking me through the process.,,
E8244,05-Feb-2016,Satisfied,Not sure but I got half way through the first attempt and the message 'something is wrong' came up.  I cancelled and started from the beginning to do a new application and this time completed.  It may have expired when I was looking for the information I needed.  Perhaps this time allocated needs to be slightly longer.,,
794 E7,05-Feb-2016,Satisfied,,,
F31A6,05-Feb-2016,Dissatisfied,"I got dyslexia and you as me to type so much, com-on. offer me phone contact or call me before get deep.",,
7F392,08-Feb-2016,Satisfied,,,
FBB0D,10/02/2016,Satisfied,,I feel that there could be a free text box that deals specifically with any changes to circumstances.,
906AB,10/02/2016,Satisfied,,,
7D3E8,10/02/2016,Satisfied,"Nothing, very quick and easy",,
68FCF,11/02/2016,Satisfied,,"The initial page on the website doesnt appear to have a clear link to the application form? I deal with employees who have to use the service as part of my job in HR and many of them dont even know abotu access to work, and even if they do they dont understand the process - the website isnt very clear if you are unfamiliar witht he process",
902AB,11/02/2016,Satisfied,,"It seems very straightforward, though I was unable to do anything with the letter for my employer. It would help if this could be emailed from the web page. Other than that all seems very good.",
50BC2,11/02/2016,Satisfied,,,
88C86,11/02/2016,Satisfied,,"You could have a ""go back"" button so that I can move across the different parts of the application , - In the end before we hit the ""submit"" button, you could have a summary of the answers as well -this way we have better visibility before we submit and review everything",
1F541,12/02/2016,Satisfied,"No , not really , liked the idea of online application form rather than paper based as quicker to process I presume. Perhaps use drop down menu to choose my certain disability / and my difficulties I would experience with my employment.  But some good progress there",,
F10F0,12/02/2016,Satisfied,,,
7B0AF,15/02/2016,Satisfied,,,
41C03,15/02/2016,Satisfied,,,
11AED,16/02/2016,Satisfied,,,
FBEDA,16/02/2016,Satisfied,,,
1166B,17/02/2016,Satisfied,TEST,,
FE848,17/02/2016,Neither,I received an email with a link to this after speaking to someone on the phone.The lady on the phone said that I would receive a call within 7 days however the email referred me to this application. I am still not sure if I should have filled the online application application out of not. It could have been a little clearer on the phone,,
91198,17/02/2016,Satisfied,,,
BCBE6,18/02/2016,Satisfied,"No comments, I've found this to be quick and easy and you got back to me extremely quickly",,
0271A,18/02/2016,Satisfied,I am happy that I do not have to rely on a telephone to make contact - as someone with a hearing disability an online application is preferred. The servoce was simple to use but it wasn't clear how much detail or information to provide,,
ODE44,18/02/2016,Satisfied,,,
C7F95,16/02/2016,Satisfied,This is the first stage but I received responses to my quieries very quick thankyou,,
1870F,19/02/2016,Satisfied,The on line form is easy to complete once you are actually able to access it. I had trouble getting the link to work and my home computer internet browser initally rejected the site as unsafe so I had to use a different browser,,
7C7BC,22/02/2016,Satisfied,,,
225F9,24/02/2016,Satisfied,"For me? To simply have black text on a white background. Also not to implem ent any other colour either around bockes, surrounding text etc",,
72017,24/02/2016,Satisfied,,,
69848,24/02/2016,Satisfied,,,
65F16,25/02/2016,Satisfied,,,
A1E95,25/02/2016,Satisfied,,,
15642,25/02/2016,Satisfied,,,
087A5,25/02/2016,Satisfied,,,
752A7,26/02/2016,Satisfied,,,
B70AB,26/02/2016,Satisfied,,,
E8C39,26/02/2016,Satisfied,,,
C2532,27/02/2016,Satisfied,,,
8AAEF,27/02/2016,Satisfied,seems straight forward and easy to use so no changes needed,,
ESA4C,29/02/2016,Satisfied,,,
04DFE,29/02/2016,Satisfied,,,
9A327,29/02/2016,Satisfied,was not exactly sure that questions captured everything correctly perhaps a further comments box especially as in my case this is a new application but I have already put work arounds and equipment in place myself to continue working,,
ECAD0 ,29/02/2016,Satisfied,Not sure! This is the first time I've accessed this service. Seems quite straightforward to me,,
0B46B,01/03/2016,Satisfied,,,
D9743,01/03/2016,Satisfied,,,
5B0C9,01/03/2016,Satisfied,was unable to get any answer on the supplied telephone number.,,
2FE82,07/03/2016,Neither ,"It seems ok, the do you know what you need to do bit I didn't like really. I don't know what to do hence why I am here and just found it a bit upsetting but probably just me",,
162A8,08/03/2016,Satisfied,No improvements required. Prompt response.,,
12379,08/03/2016,Satisfied,Very misleading. I asked for a workstation assessment and all I get is an application form for a grant with no explanation or timescale. I still have no idea if I will receive my assessment.,,
65522,07/03/2016,Satisfied,,,
AF95C,07/03/2016,satisfied,,,
CA2C8,08/03/2016,"Neither satisfied nor dissatisfied
",,,
DCE25,07/03/2016,Satisfied,,,
F02FE,07/03/2016,Satisfied,,,
0DEFA,09/03/2016,Satisfied,"I am very happy with this application, it is clear and very efficient.  No comments to add in regards to improvements.",,
1C44C,11/03/2016,Satisfied,,,
2A00C,15/03/2016,"Neither satisfied nor dissatisfied
",,,
9DF9C,11/03/2016,Satisfied,Nothing at present,,
19A78,16/03/2016,Satisfied,,,
45DB6,14/03/2016,Satisfied,Its a very good online service.,,
298AA,15/03/2016,Satisfied,I have emailed a summary to andrew.corry@dwp.gsi.gov.uk,,
43715,16/03/2016,"Neither satisfied nor dissatisfied
",,,
98998,09/03/2016,"Neither satisfied nor dissatisfied
",I think what I have recieved from you and your promp reply would go down as excellent to satisfied.,,
A53D1,15/03/2016,satisfied,quick and easy - very impressed thank you,,
B3D3A,10/03/2016,satisfied,"Very easy to use, and given I am profoundly deaf, saves a phone call!",,
B3EF1,16/03/2016,satisfied,"Just wanted to say, this new eletronic method is way better than the old paper forms. its clear and simple to use and fill in.",,
1974,17/03/2016,satisfied,,,
DFA57,17/03/2016,satisfied,No suggestions I'm afraid. Just to say that I found the questions/form simple and straight forward to complete,,
88C02,18/03/2016,satisfied,,,
D09B1,21/03/2016,satisfied,I found the service really easy to use and very user friendly. Thank you.,,
4B7DB,21/03/2016,satisfied,Make it clear that this service is available and there is no need to register by phone,,
B0CF5,22/03/2016,satisfied,,,
54A93,22/03/2016,Satisfied,,,
A80BC,23/03/2016,satisfied,I thought that this service is excellent and modern. The intial call was very good and helpful also.,,
D0FE3,23/03/2016,satisfied,,,
E5C30,23/03/2016,satisfied,,,
49A53,23/03/2016,satisfied,,,
D75FC,23/03/2016,satisfied,,,
FE4E9,23/03/2016,satisfied,"Not applicable - quick response, happy with the speed of the initiual contact and follow up.",,
CBC93,23/03/2016,satisfied,Very helpful to be able to apply on line.,,
D0FAC,24/03/2016,satisfied,,,
0E85E,24/03/2016,"Neither satisfied nor dissatisfied
",Add an opportunity to upload a 3rd Party Consent form.,,
59BA1,24/03/2016,Satisfied,I think this is a very efficient service and would struggle to identify ways to improve,,
72D00,24/03/2016,satisfied,,,
E0A13,29/03/2016,satisfied,,,
C376F,29/03/2016,satisfied,,,
BDEA7,29/03/2016,satisfied,IT IS INFORMATIVE AND HELPFUL AS IT IS,,
3696A,29/03/2016,satisfied,"MAKING CONTACT WITH A REPRESENTATIVE VIA TELEPHONE AND THEN FILLING IN THE ONLINE FORM WAS EASY THEREFORE, IN MY OPINION, I DON'T THINK THERE IS ANYTHING FURTHER TO BE DONE THAT WOULD IMPROVE THE SERVICE.",,
1490B,29/03/2016,satisfied,,,
282A6,29/03/2016,satisfied,more detailed questions,,
43350,30/03/2016,"Neither satisfied nor dissatisfied
",,,
5139A,30/03/2016,satisfied,More awareness of service,,
6A58D,30/03/2016,satisfied,Not sure .It seemed ok to me,,
4CB3D,30/03/2016,dissatisfied,How absolutely frustrating to not offer me the option of saying that this is a renewal of my current entitlement.,,
F6C4E,31/03/2016,satisfied,"I feel this service is a lot easier, more clear and step by step to complete the application. Also very easy to work with my client and the questions not to many but enough to make it manageable in one specific session.",,
201EB,31/03/2016,satisfied,,,
C9BAF,31/03/2016,Satisfied,"I had to complete the form twice as it timed out as I was typing, this lost the information I had already written and was quite frustating - I was able to write out the information on a word document and paste it in the second time to prevent this from happening again.",,
5BD0D,31/03/2016,"Neither satisfied nor dissatisfied
",Give more options for work contact details. There was only the option to give my line manager's phone number but she's rarely at her desk. It would help if I could supply her email adress as well as details of my HR representatives.,,
1.90E+64,31/03/2016,Satisfied,,,
A4DC9,01/04/2016,Satisfied,,,
DE550,01/04/2016,Satisfied,seems to be really easy to use.,,
E6484,01/04/2016,"Neither satisfied nor dissatisfied
",I wanted to discuss my case with someone as I am both self employed but as a ltd company and had to choose with no guidance on what I should have ticked and am not sure how this effects the application,,
13910,01/04/2016,Dissatisfied,"As a Deaf person i am struggling to write in english what i wanted to say, as its my second language its not effective to express what i am struggling with. it would benefit to have a video in my direct language to express and make the application how i would like it to be to explain what support i needed. I hope this wont affect my case if the information is not clear.",,
59487,01/04/2016,satisfied,To have contact details a little clearer on the web site. It simply states contact Access to work but no contact details.,,
B02D1,01/04/2016,satisfied,Not sure there is anything that can be imroved on at the moment.  Completing application in this way certainly saved time,,
D406A,01/04/2016,dissatisfied,I would have the get help number work as this is a dead line.  I am still in process of possibly getting job and its with same employer but different role and locations so i cant seem to explain this or get the right answers from anyone,,
7DE1C,02/04/2016,satisfied,more publicity hard to find out where and who to contact. It's taken me 2 months to get to this stage. My place of work has been very unhelpful,,
1CA4A,02/04/2016,Dissatisfied,Make the application more flexible.,,
3DFD9,04/04/2016,Satisfied,,,
6F3C3,04/04/2016,Satisfied,,,
6F961,04/04/2016,"Neither satisfied nor dissatisfied
",,,
F3DF9,04/04/2016,satisfied,,,
582F4,05/04/2016,satisfied,,,
904AB,05/04/2016,satisfied,,,
2079A,05/04/2016,satisfied,I felt the process was very easy and was clear of the information that was required.,,
4366F,05/04/2016,Satisfied,,,
D60F1,05/04/2016,Satisfied,"it is a very easy form to fill out online, but it would be helpful if i could of simply gave the operator my email address and had the email sent direct to me. my hearing loss is quite a complicated form of hearing loss",,
8E0D1,05/04/2016,Satisfied,,,
40B5B,05/04/2016,Satisfied,,,
0AF3E,06/04/2016,Satisfied,,,
3E1B7,06/04/2016,Satisfied,Nothing comes to mind. It's perfect.,,
4C58A,06/04/2016,Satisfied,The first part of the questions you ask are off the page they need to be over a bit more so people can see them,,
64CB9,06/04/2016,Satisfied,,,
2.85E+04,06/04/2016,Satisfied,,,
9592B,06/04/2016,Satisfied,,,
46786,06/04/2016,Satisfied,The application process seems easy and straightforward. No improvements necessary in my opinion,,
88966,06/04/2016,Dissatisfied,I contacted Access to work through the phone number on the .gov.uk website only to be told that I would need to fill out the form.  It feels unncessarily bureaucratci when the information I gave here could have been taken over the phone,,
40BF8,07/04/2016,Satisfied,,,
3754D,07/04/2016,Satisfied,,,
19464,07/04/2016,"Neither satisfied nor dissatisfied
",,,
A0014,07/04/2016,Satisfied,,,
E6528,07/04/2016,Satisfied,,,
2AAC8,08/04/2016,Satisfied,,,
4A22E,08/04/2016,satisfied,"Actually it seems really easy to use and quick. It seem too easy, so if it turns out I subsequently need more info that you have to chase me for, then I guess I'd rather have had additional questions included in this service?! Thanks",,
289B8,08/04/2016,Satisfied,Short email  address plz,,
3127F,08/04/2016,Satisfied,cant think of anything that would help - easy to complete the relevant sections on line - which is a great help to be able to do in own time and own pace as i find it difficult having to give out different information over the phone.,,
E8430,08/04/2016,Satisfied,Faster turn round always helps Didn't know this support existed but so happy to learn it's even possible. Online application very simple and straightforward. Only comment is that my employer (supply agency) isn't where I work so no obvious place to advise this - I did manage to include it though.,,
F3352,08/04/2016,Satisfied,It's too soon for me to say.,,
5AD75,10/04/2016,Satisfied,"When I initially completed this form, it timed out. I was then sent another form, as I requested. And I was able to pursue my request. Thank you.",,
81124,10/04/2016,Satisfied,,,
7D20A,11/04/2016,Satisfied,,,
4342A,11/04/2016,Satisfied,"I had to fill the questionnaire in twice, which was a long effort, as something went wrong and the session expired before I had finished. I had to start from the beginning the second time. If the website could allow the information to be saved while the form is being filled in, this could save a lot of energy/time to users. Thanks.",,
DD7A1,11/04/2016,"Neither satisfied nor dissatisfied
",the process is good (presuming I get a quick response) but the web form is designed terribly and is not optimised for mobile devices,,
67A93,12/04/2016,Satisfied,,,
C9E46,12/04/2016,Satisfied,Some options of the types of support available.,,
3F3CD,13/04/2016,"Neither satisfied nor dissatisfied
","It seems to be good, but I will see how long it takes to put measures in place. Seems good so far.",,
8EDC6,13/04/2016,"Neither satisfied nor dissatisfied
",,,
25C8E,13/04/2016,Satisfied,,,
705A8,13/04/2016,Satisfied,The process is simple and quick enough,,
788FD,13/04/2016,Satisfied,,,
2180C,13/04/2016,"Neither satisfied nor dissatisfied
",No option for providing information about costs or potential suppliers of adjutsments.,,
85808,13/04/2016,Satisfied,I think it is simple to apply via the web and the application doesn't take too long to complete.,,
88060,13/04/2016,"Neither satisfied nor dissatisfied
",,,
D61C7,13/04/2016,Satisfied,,,
E1C4F,13/04/2016,Satisfied,It's perfect,,
EFFE3,13/04/2016,Satisfied,,,
F8470,13/04/2016,Satisfied,Not applicable,,
7A7FD,14/04/2016,"Neither satisfied nor dissatisfied
",I was unable to use the direct link sent via my work email.   I  had to use my phone email  personal account to complete my application,,
94B30,14/04/2016,Satisfied,"This is a good service, I cannot do my job without support from AtW.",,
276DA,14/04/2016,Satisfied,,,
30762,14/04/2016,"Neither satisfied nor dissatisfied
","More details to be given so my employment officer can speak on my behalf I will not speak to anyone new on the phone, or answer any unknown phone numbers. The note at the end to say Access to work will visit my employer is worrying as I dont want them too, because my employment officer is already involved",,
A4493,14/04/2016,Satisfied,Everything seemed fine straight forward which makes a change.,,
AB03B,14/04/2016,Satisfied,,,
E3690,14/04/2016,Satisfied,"I feel it has already improved by this online service. Things are able to be done more efficiently, rather than having to wait a while in a queue on the phone",,
EF1C7,14/04/2016,Satisfied,Have the background a different shade to white,,
3E38C,15/04/2016,"Neither satisfied nor dissatisfied
","bit disappointed that I was told to use personal computer, not work computer because my written english not brilliant. I need my manager to help me with register an application form and answers your questions.",,
38507,15/04/2016,Satisfied,,,
DF485,15/04/2016,Satisfied,very clear and easy to use,,
E36C0,15/04/2016,Satisfied,"More drop down menus or multiple choice options as without a colleague typing the information provided, it would be quite difficult for me to do it.",,
2D572,18/04/2016,Satisfied,,,
9D9DC,18/04/2016,Satisfied,,,
20113,18/04/2016,Satisfied,An on line application service to get to the automated link. If there is one I couldn't find it,,
AAD33,18/04/2016,Satisfied,,,
BEACE,18/04/2016,Satisfied,,,
C2CC5,18/04/2016,Satisfied,,,
D3CCA,18/04/2016,Satisfied,,,
DFF55,18/04/2016,Satisfied,Very quick!,,
9D9DC,18-Apr,satisfied,,,
2d572,18/04/2016,satisfied,,,
C2CC5,18/04/2016,satisfied,,,
15A43,18/04/2016,satisfied,"So far, the online process has been very easy.",,
44F22,18/04/2016,satisfied,You couldn't - being able to do this online is really easy and much less intimidating that by phone,,
DC142,18/04/2016,dissatisfied,The time it took each page of the survey to load was quite long - at least 10 seconds and sometimes nearer 30 per page.,,
2935F,18/04/2016,satisfied,This has made it easy for me to make my application.,,
6B8B4,18/04/2016,satisfied,,,
42BEC,18/04/2016,satisfied,,,
EF6C3,18/04/2016,satisfied,,,
7F060,18/04/2016,Satisfied,In my circumstances I am being forced to submit this request by my employers.  Maybe you could pose a question as to whether a claimant currently has an arrangement in place to get to and from work.,,
AC544,18/04/2016,Satisfied,User friendly - clear layout - can't see how to improve frankly,,
88FDE,19/04/2016,dissatisfied,Acknowledgement of application and contact.,,
1.70E+01,19/04/2016,satisfied,,,
0A2EA,19/04/2016,satisfied,,,
0C46F,19/04/2016,satisfied,,,
52F8F,19/04/2016,satisfied,"The email address given over the phone could be simplified. Alternatively, giving the adviser over the phone my email address to send a link through to the webpage would avoid this altogether. ",,
C999A,19/04/2016,"Neither satisfied nor dissatisfied
",,,
67493,19/04/2016,satisfied,,,
9360C,19/04/2016,satisfied,I found it easy to use and I was grateful that it did not require too much effort.,,
0E454,20/04/2016,satisfied,Thank you,,
76850,20/04/2016,satisfied,this was my introduction to this service so it seemed fine to me,,
56A36,20/04/2016,satisfied,Nothing really. The instructions are very clear and easy to understand,,
57CDF,20/04/2016,satisfied,,,
B52C6,20/04/2016,satisfied,NEED MORE SPACE WHEN TYPING OTHER WISE IT'S EASY..,,
3386,20/04/2016,satisfied,N/A,,
AABE1,20/04/2016,Satisfied,,,
2E2A0,21/04/2016,satisfied,,,
627A5,21/04/2016,Satisfied,,,
F7114,21/04/2016,Satisfied,,,
6E5A7,21/04/2016,Satisfied,,,
B6C23,21/04/2016,Satisfied,,,
12258,22/04/2016,Satisfied,,,
B4227,22/04/2016,"Neither satisfied nor dissatisfied
",,,
FA7AC,22/04/2016,Satisfied,,,
1F1AF,22/04/2016,"Neither satisfied nor dissatisfied
",Incorporate a 'Back' button in the browser to allow previous fields to be reviewed or ammended.  This caused me to omit important details of my health condition and I couldn't go back to fill it in.,,
1306C,22/04/2016,Satisfied,Allow the form to be printed or at least saved for the user to reference.,,
38D81,22/04/2016,Satisfied,"Otherwise, the form was simple, easy to read and understand.",,
58968,22/04/2016,Satisfied,It would help to know that this works from my work computer.,,
7A351,22/04/2016,Satisfied,,,
34C83,22/04/2016,satisfied,,,
3bf28,22/04/2016,Satisfied,More space to enter conditions,,
A6DED,22/04/2016,Satisfied,Very easy to complete,,
D95D7,22/04/2016,Satisfied,Do not impose a time limit on when making this application. My first attempt according to you was too long and therefore expire. Give more time to poeple due to their disabilities.,,
D0393,22/04/2016,Satisfied,,,
68271,22/04/2016,Satisfied,At this time the service was clear and helpful no improvement needed,,
5FAE4,22/04/2016,satisfied,,,
175D6,24/04/2016,Satisfied,,,
1E339,24/04/2016,satisfied,,,
9ED8F,25/04/2016,satisfied,No problem. I think the service is very user friendly. Well done,,
D0FD3,25/04/2016,Satisfied,,,
F9EF5,25/04/2016,satisfied,,,
BB496,25/04/2016,"Neither satisfied nor dissatisfied
",I have found the online form easy to use but not very easy to write. I don't know what help is available so I'm not really sure as to what to ask for.,,
EC747,25/04/2016,Satisfied,,,
D28B5,25/04/2016,Satisfied,,,
647EC,25/04/2016,Satisfied,,,
E9307,25/04/2016,Satisfied,,,
C2139,25/04/2016,Satisfied,Very simple process - so easy to follow and complete. Can't think of anything that may improve this at the moment!,,
A460B,25/04/2016,Satisfied,,,
E7EE5,26/04/2016,Satisfied,,,
9BAB2,26/04/2016,Satisfied,,,
B8AA6,26/04/2016,Satisfied,N/a - very quick and efficient service. Easy to use also.,,
4B71F,26/04/2016,Satisfied,I wanted to ask if my interpreter could start supporting me straight away as I started work last week and hoped this could be back dated rather than waiting another week or so as it limits what I can do.,,
59025,26/04/2016,Dissatisfied,"As a deaf person who is unable to use the telephone, I was originally very pleased for the option to apply for an Access to Work grant using the online digital service. It all appeared to be quite straightforward and I set about getting my application ready. Unfortunately, the link that was sent to me become inactive very quickly, and multiple attempts (two emails and one phone call via Text Relay) at contacting DWP to request a new link were unsuccessful. This meant that my application was unnecessarily delayed and valuable working time was wasted chasing this up. It wasn't until the fourth contact that I was finally supplied with a new link, by which time I was already six weeks into my new job. Once I eventually gained access to the online application system, I found this to be very easy to use and it would have been reasonably straightforward had the link not become inactive so early on. I would suggest that you ensure personal links remain active for at least the six week deadline you give to applicants. Your service could also be improved if advisors responded to enqueries/requests for assistance in a timely and practical manner. The process has taken far longer than it needed to.",,
A9658,26/04/2016,"Neither satisfied nor dissatisfied
",It's difficult to say at this point until I hear back about my application.,,
80690,26/04/2016,"Neither satisfied nor dissatisfied
","Allow the user to save to form so they can finish it later instead of having to restart from scratch, also the fact that the form expires so quickly is not good for people who don't want to rush when filling in an important form",,
33383,26/04/2016,Satisfied,I work in a differnt location to my line manager which is again a different address to the 'company' address.  A little more clarity on which address is required may be useful here,,
35414,27/04/2016,Satisfied,,,
3E814,27/04/2016,Satisfied,,,
8BEFE,27/04/2016,Satisfied,,,
CD54D,27/04/2016,Satisfied,,,
90465,27/04/2016,Satisfied,I am very happy,,
7EFC9,27/04/2016,Satisfied,,,
24C3A,27/04/2016,Satisfied,,,
8F656,27/04/2016,Satisfied,,,
05EFB,28/04/2016,"Neither satisfied nor dissatisfied
",The process appears designed for new applicants. It would be much easier if repeat applicants or people seeking a review like myself were branched off the main questions.,,
,,Satisfied,There was nothing at the outset to indicate that the process allowed for any accessibility options. No link to options etc. For example the grey contrast on non-selected items is insufficient and confusing. The yellow border around selected items also lacks contrast and is confusing for anyone who is colourblind.,,
,,Satisfied,"I am surprised to see that, yet again, different font sizes are in use. Different font sizes are for designers and marketers. They have no place in terms of accessibility. The text on the green ""Send feedback"" button needs to be the same size as the text below this box asking me to not include personal or financial information.",,
C1F42,28/04/2016,Satisfied,,,
EB827,28/04/2016,Satisfied,,,
C6F3F,28/04/2016,Satisfied,Very good service,,
DAB87,28/04/2016,Satisfied,seemed to work well - i understand this is a beta version but suffered no glitches,,
DDA02,29/04/2016,Satisfied,The process to actually get on to the site might not be straight forward for everyone.,,
7839,29/04/2016,Satisfied,,,
83458,29/04/2016,Satisfied,I'm satisfied with this part of the process but it's taken a long time to get this far..,,
7F452,29/04/2016,Satisfied,,,
,29/04/2016,Satisfied,,,
D9EF4,29/04/2016,Satisfied,,,
CC4C8,29/04/2016,Satisfied,I needed to make a change to something earlier on in the form. As I stepped back through the process I found that some of the information I had already written had to be re-entered.,,
A6811,29/04/2016,Satisfied,The instructions were straightforward to understand.  The font size used is of a good size.   May need to provide some guidance on completing the free text sections; this may depend on how well users can articulate their needs.,,
B4D28,29/04/2016,Satisfied,,,
289D3,30/04/2016,Satisfied,"It's difficult to think of anything - I found this easy to use, clear and concise. Excellent website. Thank you",,
B6567,01/05/2016,Satisfied,not sure at this stage.,,
16039,02/05/2016,Satisfied,,,
958A1,03/05/2016,Satisfied,,,
C5455,03/05/2016,Satisfied,Only a longer box for what are your health and disability conditions. Other than that really good.,,
A53D0,03/05/2016,Satisfied,Not a lot needs to be done as it is simple and clear to use.,,
B5FB7,03/05/2016,Satisfied,,,
A3BCF,03/05/2016,Satisfied,,,
36BD8,03/05/2016,Satisfied,,,
94C1D,03/05/2016,Satisfied,,,
03D16,04/05/2016,Satisfied,,,
95045,04/05/2016,Satisfied,,,
05B2A,04/05/2016,Satisfied,,,
