APPLICATION REF,DATE,RATING,FEEDBACK - POSTIVE,FEEDBACK - IMPROVEMENT,FEEDBACK - NEUTRAL
0AEB9,04-Feb-2016,"Neither 
","Because I am autistic I like to know more details about what things will happen. I would prefer to know if/when boss would be called so that I can tell them I've applied, and whether I would be contacted first to make sure that eligible for Access to Work. Also anxious about someone possibly coming to my work and not knowing how that works (meeting at work, who would be present, or would someone follow me around all day). More information before application process would make it better.",,
1044D,04-Feb-2016,Satisfied,,,
FEC3D,04-Feb-2016,Satisfied,,,
D51C8,04-Feb-2016,Satisfied,BSL version would be handy,,
19F51,05-Feb-2016,Satisfied,At present i am very happy with the sevice i have receied you have been very fast to respond to my emails and taking me through the process.,,
E8244,05-Feb-2016,Satisfied,Not sure but I got half way through the first attempt and the message 'something is wrong' came up.  I cancelled and started from the beginning to do a new application and this time completed.  It may have expired when I was looking for the information I needed.  Perhaps this time allocated needs to be slightly longer.,,
794 E7,05-Feb-2016,Satisfied,,,
F31A6,05-Feb-2016,Dissatisfied,"I got dyslexia and you as me to type so much, com-on. offer me phone contact or call me before get deep.",,
7F392,08-Feb-2016,Satisfied,,,
FBB0D,10/02/2016,Satisfied,,I feel that there could be a free text box that deals specifically with any changes to circumstances.,
906AB,10/02/2016,Satisfied,,,
7D3E8,10/02/2016,Satisfied,"Nothing, very quick and easy",,
68FCF,11/02/2016,Satisfied,,"The initial page on the website doesnt appear to have a clear link to the application form? I deal with employees who have to use the service as part of my job in HR and many of them dont even know abotu access to work, and even if they do they dont understand the process - the website isnt very clear if you are unfamiliar witht he process",
902AB,11/02/2016,Satisfied,,"It seems very straightforward, though I was unable to do anything with the letter for my employer. It would help if this could be emailed from the web page. Other than that all seems very good.",
50BC2,11/02/2016,Satisfied,,,
88C86,11/02/2016,Satisfied,,"You could have a ""go back"" button so that I can move across the different parts of the application , - In the end before we hit the ""submit"" button, you could have a summary of the answers as well -this way we have better visibility before we submit and review everything",
1F541,12/02/2016,Satisfied,"No , not really , liked the idea of online application form rather than paper based as quicker to process I presume. Perhaps use drop down menu to choose my certain disability / and my difficulties I would experience with my employment.  But some good progress there",,
F10F0,12/02/2016,Satisfied,,,
7B0AF,15/02/2016,Satisfied,,,
41C03,15/02/2016,Satisfied,,,
11AED,16/02/2016,Satisfied,,,
FBEDA,16/02/2016,Satisfied,,,
1166B,17/02/2016,Satisfied,TEST,,
FE848,17/02/2016,Neither,I received an email with a link to this after speaking to someone on the phone.The lady on the phone said that I would receive a call within 7 days however the email referred me to this application. I am still not sure if I should have filled the online application application out of not. It could have been a little clearer on the phone,,
91198,17/02/2016,Satisfied,,,
BCBE6,18/02/2016,Satisfied,"No comments, I've found this to be quick and easy and you got back to me extremely quickly",,
0271A,18/02/2016,Satisfied,I am happy that I do not have to rely on a telephone to make contact - as someone with a hearing disability an online application is preferred. The servoce was simple to use but it wasn't clear how much detail or information to provide,,
ODE44,18/02/2016,Satisfied,,,
C7F95,16/02/2016,Satisfied,This is the first stage but I received responses to my quieries very quick thankyou,,
1870F,19/02/2016,Satisfied,The on line form is easy to complete once you are actually able to access it. I had trouble getting the link to work and my home computer internet browser initally rejected the site as unsafe so I had to use a different browser,,
7C7BC,22/02/2016,Satisfied,,,
225F9,24/02/2016,Satisfied,"For me? To simply have black text on a white background. Also not to implem ent any other colour either around bockes, surrounding text etc",,
72017,24/02/2016,Satisfied,,,
69848,24/02/2016,Satisfied,,,
65F16,25/02/2016,Satisfied,,,
A1E95,25/02/2016,Satisfied,,,
15642,25/02/2016,Satisfied,,,
087A5,25/02/2016,Satisfied,,,
752A7,26/02/2016,Satisfied,,,
B70AB,26/02/2016,Satisfied,,,
E8C39,26/02/2016,Satisfied,,,
C2532,27/02/2016,Satisfied,,,
8AAEF,27/02/2016,Satisfied,seems straight forward and easy to use so no changes needed,,
ESA4C,29/02/2016,Satisfied,,,
04DFE,29/02/2016,Satisfied,,,
9A327,29/02/2016,Satisfied,was not exactly sure that questions captured everything correctly perhaps a further comments box especially as in my case this is a new application but I have already put work arounds and equipment in place myself to continue working,,
ECAD0 ,29/02/2016,Satisfied,Not sure! This is the first time I've accessed this service. Seems quite straightforward to me,,
0B46B,01/03/2016,Satisfied,,,
D9743,01/03/2016,Satisfied,,,
5B0C9,01/03/2016,Satisfied,was unable to get any answer on the supplied telephone number.,,
